duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,target
69,2257,1,4,22,2,2,<0,delayed,repairs,unknown,4<=X<7,male mar/wid,none,real estate,none,own,highly skilled,yes,no,0
37,4348,3,1,46,1,2,no checking,existing paid,retraining,<100,4<=X<7,male mar/wid,none,real estate,bank,own,unskilled resident,no,no,0
32,4086,2,3,27,4,1,no checking,existing paid,other,500<=X<1000,>=7,male single,none,no property,none,own,skilled,yes,no,0
9,905,4,1,18,3,1,no checking,all paid,domestic appliance,<100,>=7,female div/dep/mar,none,no property,none,own,unskilled resident,no,no,0
19,2917,1,2,38,2,1,<0,existing paid,radio/tv,100<=X<500,>=7,male mar/wid,none,no property,none,own,highly skilled,yes,no,1
48,2168,1,4,43,3,1,<0,existing paid,business,unknown,>=7,male div/sep,none,no property,none,own,highly skilled,yes,yes,0
3,2782,3,2,25,4,2,no checking,existing paid,car new,<100,>=7,male single,none,no property,none,own,skilled,no,no,0
20,2432,4,0,28,2,1,<0,delayed,radio/tv,>=1000,>=7,male div/sep,none,real estate,none,own,skilled,yes,no,0
24,3212,3,4,27,1,2,no checking,delayed,domestic appliance,unknown,>=7,male mar/wid,none,real estate,stores,for free,unskilled resident,yes,yes,0
54,2858,3,2,30,2,1,<0,delayed,other,unknown,unemployed,male mar/wid,co-applicant,no property,none,own,skilled,yes,no,0
33,2832,4,3,48,3,1,<0,existing paid,radio/tv,unknown,4<=X<7,male single,none,real estate,none,own,skilled,yes,no,0
24,4655,4,4,33,3,1,no checking,existing paid,radio/tv,unknown,>=7,male single,none,no property,none,own,skilled,no,yes,0
72,3967,4,4,45,3,1,no checking,delayed,car used,500<=X<1000,>=7,male mar/wid,none,no property,none,own,skilled,yes,no,0
36,2391,2,1,23,3,2,0<=X<200,delayed,car new,<100,1<=X<4,male single,none,no property,none,own,skilled,no,no,0
38,2576,4,3,30,1,2,0<=X<200,existing paid,retraining,100<=X<500,4<=X<7,male div/sep,none,no property,none,own,skilled,yes,no,1
25,3885,1,0,46,2,1,no checking,all paid,radio/tv,500<=X<1000,4<=X<7,male single,none,no property,none,own,skilled,no,no,0
18,3884,3,2,25,1,2,0<=X<200,no credits,radio/tv,unknown,>=7,male single,none,real estate,bank,own,skilled,yes,yes,0
66,2516,2,1,47,1,2,no checking,existing paid,radio/tv,>=1000,>=7,female div/dep/mar,co-applicant,no property,none,own,skilled,yes,no,0
54,2978,4,2,27,1,1,no checking,existing paid,radio/tv,100<=X<500,>=7,male single,none,real estate,none,own,unskilled non-resident,yes,no,0
35,5579,2,0,31,3,1,<0,delayed,radio/tv,<100,>=7,male mar/wid,none,no property,none,own,skilled,yes,no,0
61,2537,4,0,55,3,2,no checking,all paid,retraining,<100,>=7,male single,none,no property,none,own,highly skilled,yes,no,0
41,5659,2,4,29,3,2,0<=X<200,all paid,education,unknown,4<=X<7,male mar/wid,none,real estate,none,own,skilled,no,no,0
33,4650,3,0,36,2,2,no checking,existing paid,furniture,>=1000,4<=X<7,male mar/wid,none,no property,none,own,skilled,yes,no,0
68,5427,3,2,42,4,2,0<=X<200,existing paid,radio/tv,unknown,4<=X<7,male single,none,real estate,none,own,unskilled resident,yes,no,0
33,2484,1,3,37,3,1,no checking,all paid,radio/tv,100<=X<500,>=7,male div/sep,none,life insurance,none,own,skilled,yes,no,0
14,3060,1,3,38,2,1,0<=X<200,existing paid,repairs,<100,<1,male single,none,no property,none,own,highly skilled,no,yes,1
21,2709,4,4,34,3,2,0<=X<200,existing paid,car new,unknown,>=7,male div/sep,none,real estate,none,own,skilled,yes,yes,0
48,4679,3,2,19,3,1,no checking,critical,business,unknown,>=7,female div/dep/mar,none,real estate,none,own,skilled,yes,no,0
20,2561,2,2,39,1,2,no checking,existing paid,furniture,100<=X<500,4<=X<7,male single,none,no property,none,own,highly skilled,yes,no,0
8,4185,2,0,26,1,2,no checking,existing paid,education,>=1000,>=7,female div/dep/mar,none,no property,none,own,skilled,no,no,0
7,4118,2,2,44,1,1,0<=X<200,existing paid,furniture,100<=X<500,>=7,male div/sep,none,real estate,none,own,skilled,no,no,1
67,3210,1,1,51,2,2,no checking,delayed,education,unknown,1<=X<4,male mar/wid,guarantor,car,none,own,skilled,yes,no,0
17,4894,2,0,18,4,2,<0,no credits,repairs,unknown,4<=X<7,male single,none,no property,none,own,skilled,yes,yes,0
33,3405,1,1,51,4,1,<0,delayed,radio/tv,unknown,>=7,female div/dep/mar,none,real estate,none,own,skilled,yes,no,0
48,4313,1,4,30,2,1,no checking,existing paid,car used,500<=X<1000,4<=X<7,male single,none,car,none,own,skilled,no,yes,0
59,2652,4,3,33,3,2,0<=X<200,delayed,radio/tv,100<=X<500,<1,male mar/wid,none,no property,none,own,skilled,yes,no,0
22,2366,2,4,24,2,2,no checking,delayed,car used,>=1000,>=7,male single,none,no property,none,own,unskilled resident,no,no,0
30,4184,2,3,37,3,1,no checking,existing paid,retraining,unknown,>=7,male div/sep,none,no property,none,own,skilled,yes,no,0
38,3809,3,4,35,2,2,no checking,existing paid,car new,500<=X<1000,4<=X<7,male single,none,real estate,none,own,highly skilled,yes,no,0
51,3575,4,2,47,2,2,no checking,all paid,car new,>=1000,>=7,female div/dep/mar,none,no property,none,own,highly skilled,yes,no,0
54,2841,3,1,26,2,1,no checking,delayed,domestic appliance,<100,>=7,male mar/wid,none,no property,none,for free,unskilled resident,no,no,0
8,5207,4,3,54,4,1,<0,existing paid,car new,unknown,<1,male div/sep,guarantor,real estate,none,own,skilled,no,no,0
27,1875,2,0,42,1,1,no checking,existing paid,radio/tv,unknown,>=7,male div/sep,guarantor,real estate,none,rent,skilled,no,no,0
27,1806,1,1,36,2,1,0<=X<200,critical,radio/tv,100<=X<500,4<=X<7,female div/dep/mar,none,no property,none,own,highly skilled,yes,no,0
21,4448,1,0,32,4,1,0<=X<200,delayed,business,500<=X<1000,1<=X<4,male mar/wid,none,no property,none,own,skilled,yes,no,0
30,4346,1,1,31,1,1,no checking,all paid,business,<100,>=7,female div/dep/mar,none,no property,bank,own,highly skilled,yes,no,0
28,3713,1,1,32,1,2,no checking,existing paid,education,<100,>=7,male mar/wid,co-applicant,no property,none,own,highly skilled,yes,no,0
64,2911,1,4,37,2,2,no checking,existing paid,education,<100,1<=X<4,female div/dep/mar,none,no property,none,own,skilled,yes,yes,0
69,3899,3,3,32,3,1,0<=X<200,existing paid,domestic appliance,unknown,>=7,female div/dep/mar,none,no property,none,for free,skilled,yes,no,0
61,5422,4,3,27,3,1,no checking,existing paid,radio/tv,unknown,>=7,male single,none,real estate,none,own,skilled,yes,no,0
48,6415,2,1,37,3,2,<0,existing paid,furniture,500<=X<1000,>=7,female div/dep/mar,none,life insurance,none,own,skilled,yes,no,0
19,1200,3,2,24,2,2,no checking,existing paid,radio/tv,500<=X<1000,4<=X<7,male single,none,no property,none,own,unskilled resident,no,no,0
4,2747,4,2,38,3,2,no checking,delayed,repairs,100<=X<500,>=7,male mar/wid,co-applicant,no property,stores,own,unskilled resident,yes,no,0
35,2668,1,0,32,4,1,no checking,all paid,radio/tv,<100,4<=X<7,male div/sep,none,no property,none,own,skilled,no,no,0
64,5304,4,0,43,4,1,0<=X<200,existing paid,car used,<100,<1,male mar/wid,none,no property,none,for free,skilled,yes,no,1
49,250,4,4,46,4,2,<0,all paid,radio/tv,unknown,>=7,male single,none,no property,stores,own,highly skilled,no,no,0
17,3913,1,1,46,4,1,<0,no credits,car used,unknown,>=7,male single,co-applicant,life insurance,bank,own,skilled,yes,no,0
44,2949,1,0,38,1,1,no checking,all paid,repairs,100<=X<500,>=7,male mar/wid,none,no property,none,for free,skilled,yes,no,0
30,5318,1,0,40,4,1,no checking,existing paid,education,unknown,4<=X<7,male single,none,no property,none,own,skilled,no,no,0
46,5147,2,1,31,3,2,0<=X<200,critical,car new,unknown,unemployed,female div/dep/mar,co-applicant,real estate,none,rent,skilled,yes,yes,0
6,3727,1,4,43,2,2,no checking,no credits,furniture,<100,>=7,male mar/wid,none,car,none,rent,skilled,no,no,0
37,1296,2,0,44,3,1,no checking,no credits,education,unknown,4<=X<7,female div/dep/mar,none,no property,none,own,skilled,no,no,0
24,2553,1,4,18,4,1,no checking,delayed,repairs,>=1000,>=7,male single,none,no property,none,own,highly skilled,yes,no,0
46,2690,2,3,39,1,1,no checking,no credits,radio/tv,500<=X<1000,4<=X<7,male mar/wid,co-applicant,life insurance,stores,own,skilled,no,no,0
53,1612,4,4,51,4,1,no checking,delayed,business,<100,>=7,male single,co-applicant,life insurance,none,for free,unskilled non-resident,no,no,0
60,4714,3,2,30,2,1,0<=X<200,all paid,radio/tv,unknown,>=7,male mar/wid,none,no property,none,own,highly skilled,yes,no,0
63,1454,4,2,28,3,2,0<=X<200,critical,radio/tv,unknown,>=7,male single,none,no property,none,own,unskilled resident,no,yes,0
32,5727,4,4,29,2,1,<0,existing paid,education,<100,>=7,male div/sep,none,no property,none,own,skilled,no,no,1
33,5724,1,2,18,2,1,no checking,delayed,car new,500<=X<1000,>=7,male single,none,no property,none,for free,skilled,yes,no,0
67,2789,2,3,36,2,1,no checking,critical,furniture,<100,unemployed,male div/sep,none,no property,none,own,unskilled non-resident,yes,no,0
18,3681,3,1,35,3,2,no checking,existing paid,business,unknown,unemployed,male single,none,life insurance,none,own,skilled,yes,no,0
25,3180,1,2,37,4,2,<0,no credits,radio/tv,500<=X<1000,>=7,male mar/wid,none,no property,none,own,skilled,no,no,1
54,4398,1,2,39,2,1,>=200,critical,radio/tv,unknown,1<=X<4,female div/dep/mar,none,life insurance,none,own,skilled,no,no,0
58,4864,1,4,25,3,2,<0,existing paid,business,100<=X<500,>=7,male single,none,no property,none,own,unskilled resident,no,no,1
67,3593,4,3,38,1,2,<0,no credits,repairs,<100,1<=X<4,male div/sep,none,real estate,none,own,skilled,yes,no,1
46,3857,2,1,40,3,2,no checking,no credits,radio/tv,<100,1<=X<4,female div/dep/mar,none,no property,none,for free,skilled,yes,no,0
24,2495,2,4,29,1,2,no checking,delayed,car new,<100,>=7,male single,guarantor,life insurance,none,own,highly skilled,no,no,0
32,3816,3,4,40,3,2,no checking,all paid,education,<100,>=7,male single,none,no property,none,own,unskilled resident,yes,no,0
47,3474,2,3,35,4,2,no checking,existing paid,business,500<=X<1000,>=7,female div/dep/mar,guarantor,life insurance,none,own,skilled,no,no,0
23,2131,2,1,27,2,1,<0,existing paid,other,<100,>=7,male single,none,car,none,own,highly skilled,no,no,1
66,3253,1,3,38,4,2,0<=X<200,delayed,other,500<=X<1000,>=7,male single,none,life insurance,none,for free,skilled,yes,yes,0
27,2792,1,1,31,3,2,0<=X<200,delayed,business,100<=X<500,1<=X<4,male single,none,no property,none,own,highly skilled,yes,no,0
2,2509,4,3,43,2,1,no checking,delayed,radio/tv,500<=X<1000,4<=X<7,male div/sep,none,car,bank,rent,highly skilled,yes,no,0
17,1837,1,4,32,1,1,no checking,all paid,repairs,unknown,>=7,female div/dep/mar,none,no property,none,rent,skilled,no,no,0
33,3349,1,4,19,3,1,0<=X<200,delayed,car new,>=1000,>=7,male single,none,no property,none,own,skilled,no,no,0
9,2295,1,0,38,2,1,>=200,all paid,radio/tv,unknown,>=7,male mar/wid,none,no property,none,for free,unskilled non-resident,no,no,0
43,2682,1,2,37,1,2,<0,existing paid,furniture,<100,>=7,male mar/wid,none,no property,none,own,unskilled resident,yes,no,1
48,4614,4,3,22,1,2,0<=X<200,existing paid,retraining,100<=X<500,unemployed,male single,none,no property,none,own,skilled,yes,no,0
39,4061,1,0,44,4,2,>=200,no credits,other,100<=X<500,1<=X<4,male single,none,car,none,rent,unskilled resident,no,no,1
42,2047,3,2,43,3,2,<0,delayed,radio/tv,100<=X<500,>=7,male mar/wid,none,life insurance,none,own,skilled,yes,no,0
26,3710,3,3,24,1,1,>=200,no credits,business,unknown,4<=X<7,female div/dep/mar,none,no property,none,own,unskilled non-resident,no,no,0
50,3436,3,1,27,2,2,no checking,existing paid,repairs,100<=X<500,<1,male single,none,real estate,bank,rent,skilled,yes,yes,0
25,5398,3,2,33,1,2,no checking,critical,radio/tv,500<=X<1000,4<=X<7,female div/dep/mar,guarantor,no property,none,own,skilled,yes,no,0
24,4999,1,4,25,1,1,<0,critical,furniture,100<=X<500,unemployed,male div/sep,none,real estate,none,own,skilled,yes,no,0
13,1353,3,0,42,4,2,0<=X<200,all paid,business,unknown,>=7,male single,none,no property,none,own,skilled,yes,no,0
60,4347,1,2,36,4,2,>=200,existing paid,furniture,unknown,>=7,male div/sep,none,real estate,none,own,highly skilled,no,no,0
7,4852,4,2,21,2,2,0<=X<200,delayed,radio/tv,100<=X<500,>=7,male div/sep,none,no property,none,own,skilled,yes,no,0
57,3970,3,4,25,4,2,0<=X<200,existing paid,business,<100,>=7,female div/dep/mar,none,no property,none,own,skilled,no,no,1
36,2851,2,3,49,1,1,no checking,existing paid,retraining,unknown,4<=X<7,male mar/wid,co-applicant,car,none,rent,highly skilled,yes,no,0
45,6287,3,1,53,1,1,no checking,all paid,car used,unknown,>=7,male single,none,real estate,none,own,unskilled resident,yes,no,0
20,4085,3,4,41,4,1,no checking,existing paid,business,<100,<1,female div/dep/mar,none,car,none,own,skilled,yes,no,0
65,5741,1,1,32,1,1,0<=X<200,delayed,education,100<=X<500,4<=X<7,female div/dep/mar,none,no property,none,rent,unskilled non-resident,yes,yes,0
8,4960,3,3,29,1,1,no checking,existing paid,radio/tv,unknown,1<=X<4,female div/dep/mar,none,car,none,own,unskilled resident,yes,no,0
16,3851,2,2,41,2,2,0<=X<200,existing paid,car new,unknown,>=7,male single,none,life insurance,none,own,highly skilled,no,no,0
14,2546,1,1,35,4,2,<0,existing paid,education,<100,>=7,male single,none,no property,none,own,skilled,yes,no,1
15,3240,1,0,18,1,1,no checking,existing paid,other,500<=X<1000,>=7,male single,none,no property,none,rent,highly skilled,yes,no,0
66,2993,4,0,47,4,1,no checking,no credits,radio/tv,unknown,>=7,male single,none,real estate,none,own,skilled,yes,no,0
32,1752,4,4,51,2,1,no checking,all paid,furniture,unknown,<1,male single,none,real estate,bank,own,highly skilled,yes,no,0
63,4083,3,3,43,4,2,no checking,existing paid,education,unknown,>=7,male div/sep,none,no property,none,own,highly skilled,yes,no,0
51,5230,4,4,21,1,1,no checking,existing paid,retraining,unknown,>=7,male single,none,no property,none,own,skilled,no,no,0
25,2898,4,4,27,4,2,no checking,existing paid,radio/tv,<100,4<=X<7,male div/sep,none,life insurance,bank,own,skilled,yes,no,0
58,5975,4,4,18,1,2,no checking,existing paid,radio/tv,unknown,1<=X<4,male single,none,no property,none,own,skilled,yes,no,0
63,1324,1,0,54,1,2,no checking,existing paid,radio/tv,<100,>=7,male single,none,real estate,none,own,highly skilled,no,no,0
62,4588,1,0,30,1,2,no checking,all paid,repairs,unknown,>=7,male single,none,car,none,own,skilled,yes,no,0
22,5360,1,4,62,2,1,no checking,delayed,radio/tv,100<=X<500,>=7,male single,none,no property,none,own,skilled,yes,no,0
58,3015,4,0,58,4,2,no checking,existing paid,radio/tv,unknown,>=7,female div/dep/mar,guarantor,life insurance,none,own,skilled,yes,no,0
58,3038,1,3,24,2,2,<0,no credits,radio/tv,<100,>=7,male single,none,no property,none,own,skilled,yes,no,0
49,4574,4,4,26,4,1,no checking,no credits,business,500<=X<1000,1<=X<4,male mar/wid,none,no property,bank,rent,unskilled resident,yes,no,0
52,3903,1,0,40,2,2,0<=X<200,delayed,radio/tv,<100,<1,male mar/wid,none,no property,none,own,skilled,no,no,0
42,774,1,1,18,3,2,>=200,all paid,education,unknown,4<=X<7,female div/dep/mar,none,real estate,none,own,highly skilled,no,no,0
70,2216,2,4,29,1,2,0<=X<200,delayed,radio/tv,unknown,<1,male div/sep,co-applicant,life insurance,none,own,skilled,no,no,0
15,3254,3,4,28,1,1,no checking,no credits,car new,unknown,>=7,male single,none,no property,none,own,skilled,yes,no,0
54,1558,4,3,57,2,2,no checking,delayed,business,500<=X<1000,>=7,female div/dep/mar,none,life insurance,none,own,skilled,no,no,0
60,2678,2,2,36,3,2,0<=X<200,delayed,car new,<100,>=7,male div/sep,none,no property,none,for free,skilled,yes,no,0
8,1590,1,2,31,1,1,<0,existing paid,retraining,unknown,1<=X<4,male single,none,life insurance,none,own,highly skilled,yes,no,0
53,2808,4,3,27,4,1,0<=X<200,no credits,domestic appliance,unknown,>=7,male single,none,car,none,own,skilled,yes,no,0
60,2850,1,3,45,2,2,no checking,all paid,education,unknown,unemployed,male single,none,real estate,none,own,unskilled resident,yes,no,0
5,3710,3,3,29,1,2,0<=X<200,existing paid,business,unknown,4<=X<7,female div/dep/mar,none,no property,none,own,unskilled resident,no,no,0
68,3156,2,2,34,1,1,0<=X<200,existing paid,business,unknown,>=7,female div/dep/mar,none,no property,stores,own,highly skilled,no,no,0
6,3899,3,3,27,2,2,0<=X<200,all paid,other,100<=X<500,>=7,male single,none,life insurance,none,for free,highly skilled,no,no,1
47,3750,2,0,18,2,1,>=200,no credits,furniture,unknown,4<=X<7,female div/dep/mar,none,no property,none,own,skilled,no,no,0
55,4560,1,4,23,4,2,0<=X<200,existing paid,car new,>=1000,unemployed,female div/dep/mar,none,car,none,own,unskilled resident,no,no,0
40,4363,3,4,28,4,1,no checking,existing paid,furniture,unknown,>=7,male div/sep,none,real estate,none,own,skilled,yes,no,0
52,4231,3,1,31,1,2,<0,all paid,other,unknown,<1,male single,none,no property,none,own,skilled,yes,no,0
16,7152,1,1,32,1,1,no checking,no credits,radio/tv,<100,<1,male div/sep,none,no property,none,own,skilled,no,no,0
13,3705,3,4,33,2,1,0<=X<200,delayed,radio/tv,100<=X<500,>=7,male div/sep,none,life insurance,none,own,highly skilled,yes,no,0
30,6512,4,0,29,1,1,>=200,existing paid,education,<100,4<=X<7,male div/sep,none,life insurance,none,own,highly skilled,no,no,0
19,3786,2,2,51,1,1,0<=X<200,critical,radio/tv,<100,4<=X<7,male div/sep,none,no property,none,rent,highly skilled,yes,no,0
17,3167,2,2,46,2,1,no checking,existing paid,car new,>=1000,4<=X<7,female div/dep/mar,none,no property,none,own,skilled,yes,no,0
63,2804,2,0,33,1,2,no checking,no credits,radio/tv,unknown,>=7,male single,none,no property,none,own,skilled,yes,no,0
19,5158,4,2,38,1,2,no checking,existing paid,education,<100,>=7,female div/dep/mar,co-applicant,real estate,none,own,skilled,no,no,0
58,5321,2,3,30,3,1,no checking,existing paid,retraining,100<=X<500,4<=X<7,male mar/wid,none,no property,none,for free,skilled,yes,no,0
55,4020,1,4,18,4,2,>=200,delayed,furniture,unknown,1<=X<4,female div/dep/mar,none,life insurance,none,for free,skilled,no,no,0
62,4687,3,4,35,2,2,no checking,existing paid,business,unknown,4<=X<7,male single,co-applicant,no property,stores,own,unskilled resident,yes,no,0
23,1674,4,0,38,3,2,no checking,all paid,radio/tv,500<=X<1000,1<=X<4,male single,none,real estate,none,own,skilled,no,no,0
9,1335,2,2,18,4,2,0<=X<200,delayed,radio/tv,unknown,>=7,male mar/wid,none,car,none,rent,skilled,yes,no,0
12,4828,1,1,40,4,2,no checking,existing paid,repairs,500<=X<1000,>=7,male single,none,no property,none,for free,skilled,yes,no,0
1,3112,3,1,31,4,2,>=200,delayed,business,<100,4<=X<7,male single,none,no property,none,own,unskilled resident,yes,no,0
58,4207,3,2,39,3,1,0<=X<200,delayed,education,<100,4<=X<7,male single,none,no property,none,own,skilled,yes,no,0
1,2374,4,1,31,3,2,0<=X<200,all paid,domestic appliance,<100,1<=X<4,male mar/wid,none,car,none,own,unskilled resident,yes,no,1
34,5342,4,0,50,4,2,0<=X<200,existing paid,retraining,100<=X<500,4<=X<7,male single,none,no property,none,own,skilled,no,no,1
48,1345,4,0,37,1,2,no checking,existing paid,domestic appliance,unknown,4<=X<7,female div/dep/mar,none,no property,none,own,skilled,yes,no,0
1,1539,1,2,47,1,1,0<=X<200,existing paid,furniture,unknown,>=7,male div/sep,none,real estate,none,own,highly skilled,yes,no,0
16,5076,1,1,48,3,2,<0,existing paid,radio/tv,100<=X<500,>=7,male single,none,no property,none,own,skilled,yes,no,1
61,250,4,0,21,3,2,<0,delayed,car new,100<=X<500,>=7,male mar/wid,guarantor,no property,none,own,skilled,yes,no,0
64,3744,2,0,26,3,2,no checking,critical,car used,<100,4<=X<7,female div/dep/mar,guarantor,real estate,none,own,skilled,yes,yes,0
63,3136,3,3,40,4,1,no checking,all paid,radio/tv,unknown,>=7,female div/dep/mar,none,real estate,none,rent,skilled,yes,no,0
69,2351,3,3,30,1,2,0<=X<200,all paid,business,unknown,1<=X<4,male mar/wid,co-applicant,car,none,own,unskilled resident,yes,no,0
22,3021,1,0,32,3,1,<0,existing paid,radio/tv,<100,unemployed,male mar/wid,none,real estate,none,own,skilled,yes,no,0
67,2211,3,2,50,3,2,<0,all paid,furniture,<100,>=7,female div/dep/mar,co-applicant,no property,bank,own,skilled,yes,no,1
26,5198,2,4,31,2,1,no checking,critical,education,>=1000,1<=X<4,male single,none,no property,none,for free,skilled,no,no,0
16,5526,3,4,23,4,1,>=200,existing paid,business,500<=X<1000,>=7,male mar/wid,none,no property,none,own,skilled,yes,no,0
51,2413,1,0,24,2,1,>=200,existing paid,education,100<=X<500,>=7,female div/dep/mar,none,real estate,none,own,highly skilled,yes,no,0
57,3615,1,0,61,1,2,<0,no credits,repairs,>=1000,>=7,male mar/wid,none,no property,none,own,skilled,yes,no,1
29,1614,2,0,32,2,1,no checking,critical,car new,500<=X<1000,>=7,male mar/wid,none,no property,none,own,skilled,yes,no,0
69,4612,2,2,18,2,1,no checking,all paid,business,<100,unemployed,male single,co-applicant,no property,none,own,highly skilled,yes,yes,0
47,4579,3,3,18,2,1,0<=X<200,critical,domestic appliance,100<=X<500,>=7,male mar/wid,none,real estate,none,own,highly skilled,no,no,0
62,2901,3,0,27,4,1,<0,existing paid,car used,100<=X<500,>=7,male single,none,no property,none,own,unskilled non-resident,yes,no,1
69,3292,1,0,32,1,2,0<=X<200,critical,domestic appliance,unknown,>=7,male div/sep,none,no property,none,own,highly skilled,no,yes,0
16,3153,2,1,46,2,2,no checking,existing paid,radio/tv,unknown,unemployed,male single,none,no property,none,own,skilled,yes,no,0
48,1247,2,2,45,4,2,no checking,no credits,education,unknown,>=7,male mar/wid,none,car,stores,own,skilled,no,no,0
39,5203,2,0,34,1,2,no checking,critical,radio/tv,unknown,<1,male div/sep,none,real estate,none,own,skilled,no,no,0
33,2312,3,1,29,3,1,no checking,no credits,radio/tv,500<=X<1000,>=7,male div/sep,none,no property,none,for free,skilled,yes,no,0
23,2320,2,4,39,2,2,<0,existing paid,repairs,unknown,unemployed,male mar/wid,none,car,none,own,skilled,yes,no,0
10,3082,1,0,18,1,1,no checking,all paid,radio/tv,unknown,>=7,female div/dep/mar,none,no property,none,own,skilled,yes,no,0
69,4515,1,0,58,2,2,no checking,critical,car new,<100,4<=X<7,female div/dep/mar,none,no property,none,own,unskilled resident,no,no,0
34,2531,3,1,42,3,2,0<=X<200,delayed,car new,500<=X<1000,1<=X<4,male mar/wid,none,car,none,own,skilled,yes,no,0
52,830,4,2,45,1,2,no checking,existing paid,car new,unknown,<1,male div/sep,none,no property,none,own,skilled,yes,no,0
10,2162,3,0,22,4,1,0<=X<200,existing paid,furniture,unknown,4<=X<7,male mar/wid,none,real estate,none,for free,highly skilled,yes,no,0
19,3801,4,4,50,1,2,0<=X<200,critical,business,<100,<1,male mar/wid,co-applicant,life insurance,none,own,skilled,yes,no,0
58,6008,2,0,29,4,2,no checking,no credits,radio/tv,500<=X<1000,4<=X<7,male single,none,no property,none,own,unskilled resident,no,no,0
1,1696,3,4,23,1,2,no checking,delayed,education,unknown,>=7,female div/dep/mar,none,no property,none,own,skilled,no,yes,0
69,1650,1,3,34,4,1,no checking,all paid,car new,100<=X<500,>=7,male single,none,car,none,own,skilled,yes,yes,0
4,1380,2,3,34,3,2,<0,delayed,car used,unknown,>=7,male div/sep,none,no property,none,own,unskilled resident,yes,no,0
16,1225,1,4,22,3,2,no checking,critical,furniture,100<=X<500,<1,male single,none,life insurance,none,for free,skilled,yes,no,0
24,4778,2,2,24,3,1,no checking,critical,other,unknown,4<=X<7,male div/sep,none,no property,bank,own,highly skilled,no,yes,0
2,5139,3,0,23,1,1,>=200,existing paid,furniture,500<=X<1000,1<=X<4,male single,none,no property,none,own,skilled,no,no,0
32,3493,4,0,23,3,2,no checking,existing paid,furniture,500<=X<1000,>=7,male single,none,car,none,own,skilled,yes,no,0
24,2686,2,3,30,2,2,no checking,existing paid,radio/tv,<100,>=7,male single,none,no property,none,for free,skilled,yes,no,0
12,5509,4,4,18,3,2,<0,no credits,car new,<100,4<=X<7,male single,none,no property,none,rent,unskilled non-resident,no,no,0
50,3488,2,0,26,4,1,no checking,existing paid,business,>=1000,<1,male div/sep,none,no property,none,own,unskilled resident,yes,no,0
35,4632,1,0,47,4,1,<0,existing paid,radio/tv,100<=X<500,>=7,male single,none,no property,none,own,highly skilled,yes,no,1
33,2625,1,2,44,4,1,<0,delayed,education,500<=X<1000,>=7,male single,guarantor,real estate,none,rent,highly skilled,yes,no,0
33,3326,2,1,22,1,2,>=200,existing paid,business,<100,>=7,male single,none,car,stores,rent,unskilled resident,yes,no,0
61,1724,4,3,46,2,1,no checking,no credits,education,unknown,>=7,male div/sep,none,no property,none,own,skilled,yes,no,0
51,4057,3,3,18,3,2,0<=X<200,existing paid,radio/tv,unknown,4<=X<7,male mar/wid,none,no property,bank,rent,highly skilled,no,yes,0
43,3509,3,1,64,2,1,no checking,existing paid,car used,<100,1<=X<4,male single,none,no property,none,own,unskilled resident,yes,no,0
12,2152,1,0,50,2,1,0<=X<200,all paid,radio/tv,>=1000,4<=X<7,male div/sep,co-applicant,car,none,own,unskilled resident,yes,no,1
67,2169,3,2,28,4,1,no checking,all paid,other,unknown,4<=X<7,female div/dep/mar,none,no property,none,own,highly skilled,yes,no,0
65,5290,1,2,39,4,2,no checking,delayed,radio/tv,>=1000,4<=X<7,male single,none,real estate,none,own,skilled,no,no,0
33,5735,3,3,18,4,2,no checking,existing paid,business,100<=X<500,>=7,male div/sep,none,real estate,none,own,unskilled resident,yes,no,0
40,3004,2,2,35,1,2,0<=X<200,existing paid,furniture,unknown,1<=X<4,male single,none,no property,none,own,skilled,yes,no,0
43,3355,1,1,32,2,2,no checking,existing paid,other,<100,4<=X<7,male div/sep,none,no property,none,own,unskilled resident,yes,yes,0
44,3771,1,0,24,2,1,no checking,critical,radio/tv,100<=X<500,4<=X<7,male single,none,life insurance,none,own,skilled,no,no,0
29,3456,2,1,29,1,2,no checking,all paid,car used,<100,<1,male mar/wid,none,no property,none,for free,skilled,yes,no,0
13,1178,1,4,28,1,1,>=200,critical,car new,500<=X<1000,4<=X<7,male single,none,no property,none,own,skilled,yes,no,0
12,3805,3,3,21,1,2,no checking,no credits,furniture,<100,>=7,female div/dep/mar,none,life insurance,none,own,skilled,yes,no,0
46,661,3,2,24,2,2,<0,delayed,furniture,unknown,>=7,male mar/wid,co-applicant,no property,none,own,skilled,yes,no,0
2,2355,1,4,18,2,1,no checking,existing paid,business,100<=X<500,4<=X<7,male single,none,life insurance,none,own,unskilled resident,no,yes,0
35,3902,3,2,45,4,1,no checking,existing paid,retraining,<100,>=7,female div/dep/mar,none,no property,bank,own,unskilled non-resident,no,no,0
8,4020,4,0,23,4,2,<0,existing paid,radio/tv,100<=X<500,unemployed,male single,none,no property,none,own,highly skilled,yes,no,0
26,2258,1,0,20,2,2,>=200,existing paid,radio/tv,<100,>=7,female div/dep/mar,none,no property,bank,own,skilled,yes,no,0
